RegionName,State,avg_2024,avg_2025
New York,NY,3693.976347899472,3841.3274006362753
Los Angeles,CA,2746.500859832753,2818.297388747664
Houston,TX,1563.9984075615555,1581.21822078579
Chicago,IL,2092.0443247787157,2200.4632401844237
San Antonio,TX,1439.9243000870931,1437.4348813247243
Philadelphia,PA,1699.607549275874,1746.5017404930231
Phoenix,AZ,1643.5559337047891,1647.321033643113
Las Vegas,NV,1724.0250887962775,1748.9871479219619
San Diego,CA,2992.403137603971,3044.699919529203
Dallas,TX,1660.5122312115666,1670.3475217865275
Austin,TX,1660.257364696806,1623.7776055386844
San Jose,CA,3186.4452245899774,3281.420462754015
Jacksonville,FL,1600.89939239114,1618.5882126408046
Charlotte,NC,1747.7267750045305,1771.101933346963
Indianapolis,IN,1324.5099118609944,1380.0239033249604
Fort Worth,TX,1631.5565048668261,1658.1317266784722
Orlando,FL,1925.7035572513685,1944.1441625840616
San Francisco,CA,3297.473857793258,3496.362415603321
Tucson,AZ,1459.5191744191432,1472.8483626220832
Columbus,OH,1412.9469447764122,1466.2474635484432
Miami,FL,2973.408145385827,3012.776450855846
Louisville,KY,1308.1305034818163,1343.2236496053042
El Paso,TX,1506.561288816764,1544.4443513899457
Denver,CO,1948.2152354544387,1920.8654367349673
Seattle,WA,2143.8645030306557,2202.1492874653877
Portland,OR,1727.0522853351204,1763.3237505052366
Nashville,TN,1820.557545367478,1836.4837119542071
Washington,DC,2480.097212055835,2544.597650832553
Sacramento,CA,2026.999198053848,2083.289434099731
Boston,MA,3220.6190508530585,3326.1486792338846
Detroit,MI,1279.7548379701577,1332.2373304332732
Pittsburgh,PA,1502.0669733408306,1552.517144838841
Albuquerque,NM,1490.988575943551,1534.2928898343773
Memphis,TN,1278.6739255714122,1300.236637339055
Fresno,CA,1863.1835465805796,1920.9334408632396
Baltimore,MD,1712.8997890255787,1772.0605234784698
Omaha,NE,1360.1373247172214,1411.414040998372
Atlanta,GA,1854.3901523033176,1893.6444293818224
Milwaukee,WI,1323.2277376933073,1373.669627230569
Oklahoma City,OK,1230.2362921963902,1266.1010764894545
Raleigh,NC,1616.221526594283,1636.404653975388
Mesa,AZ,1639.7836882774689,1638.3680611881723
Colorado Springs,CO,1763.187680077638,1767.5948426725538
Buffalo,NY,1323.172570986676,1364.0993838395145
Kansas City,MO,1329.7579961299557,1384.0784989500505
Rochester,NY,1331.1499316461964,1400.411252136297
Cincinnati,OH,1350.6776751432942,1387.7480615616762
Long Beach,CA,2273.990904834362,2309.2722790869284
Virginia Beach,VA,1934.8948337838083,2019.151825600365
Bakersfield,CA,1891.297998283099,1944.3691297443222
Tampa,FL,2039.8327633034714,2091.2354186834764
Oakland,CA,2419.6983260257707,2483.105331246163
Tulsa,OK,1261.132371645548,1290.4295046348002
Minneapolis,MN,1564.0170934317473,1610.0065483845551
Aurora,CO,1910.2858839893186,1857.6490195796018
Spring,TX,1740.1634439777038,1772.9771137062314
Honolulu,HI,2423.5234054714883,2503.20550327602
Knoxville,TN,1710.1761127298485,1756.327142834371
Arlington,TX,1567.618832792573,1592.3748569921863
Baton Rouge,LA,1295.714763001881,1324.6518185764028
New Orleans,LA,1644.1495058072549,1673.6303738966665
Wichita,KS,1058.33096655071,1089.3440082120756
Cleveland,OH,1307.221992133291,1374.6412981231429
Riverside,CA,2349.8496917722005,2442.1304722120976
Anaheim,CA,2684.0589145367626,2772.46491694272
Vancouver,WA,1808.501158675366,1851.6379633828096
Stockton,CA,1966.0831036807158,2018.7058163826275
Marietta,GA,1724.4128810546738,1741.113806223991
Columbia,SC,1443.7304642067027,1517.5638775562024
Greensboro,NC,1401.5032130161692,1441.8566091693174
Fort Wayne,IN,1149.3821298723942,1187.9670661644109
Lexington,KY,1416.983345718926,1472.776293623079
Naples,FL,2793.8429277915,2750.3135766901905
Henderson,NV,1840.9822970296966,1852.8035820109776
Corpus Christi,TX,1384.112991461148,1404.9300416797573
Saint Louis,MO,1246.1201229784895,1286.0209033495216
Santa Ana,CA,2630.6352355490526,2728.83780415393
Durham,NC,1666.3348053763273,1678.8186090381178
Silver Spring,MD,2013.4373509289683,2030.5400421715317
Saint Paul,MN,1446.8056813097935,1477.6414114953582
Spokane,WA,1480.259642184624,1507.7942890697543
Newark,NJ,2065.3293500885916,2168.53326664955
Reno,NV,1825.0483545274212,1873.9860245757718
Saint Petersburg,FL,2041.063615348515,2127.5013793014296
Irvine,CA,3398.5281436438,3430.540331861478
Lincoln,NE,1220.4957547379606,1260.051244683196
Toledo,OH,1038.1993811592504,1082.8541415703671
Chandler,AZ,1945.446972948026,1953.2152264042638
Tallahassee,FL,1466.129198161351,1516.6091815406228
Jersey City,NJ,3136.335312668569,3229.9163771006797
Plano,TX,1797.5403969294205,1802.5562220454358
Lubbock,TX,1322.3407178913947,1345.5652128018146
Modesto,CA,1948.9323005565464,2004.3595336241283
Katy,TX,2000.2189186927546,2024.1209757714437
Lawrenceville,GA,1931.2835720452103,1944.8600761874357
Chula Vista,CA,3014.8683203954374,3095.593914819726
Boise,ID,1683.9763160901682,1730.6449167345459
Richmond,VA,1526.4498011730002,1588.5258602007652
Gilbert,AZ,2145.347834816313,2144.507761825611
Winston-Salem,NC,1482.2967966351468,1540.2988291129936
Madison,WI,1510.041953791624,1558.6232946230941
Laredo,TX,1281.125329070789,1330.0761431983715
North Las Vegas,NV,1800.9129209783466,1830.5698430687155
San Bernardino,CA,1931.4200116344175,1990.0315847150591
Lakeland,FL,1725.5659398141042,1756.9831726325278
Fort Myers,FL,1899.4518947267172,1856.3728155470671
Irving,TX,1642.0466726753882,1631.7190701635318
Mobile,AL,1237.2698023200148,1278.3367207072622
Glendale,AZ,1615.9766719949266,1595.6373167687354
Pensacola,FL,1628.5284352745475,1649.8417163837917
Anchorage,AK,1626.93014365782,1676.5480560954009
Chesapeake,VA,1907.46098360286,1989.7736438721709
Sarasota,FL,2336.0132474171032,2322.6584594544065
Fayetteville,NC,1401.3647361506953,1456.821285473909
Birmingham,AL,1278.1093504040703,1312.2699182828496
Hialeah,FL,2424.0419665986988,2448.3794553704006
Garland,TX,1601.820448519955,1633.3848714570304
Kissimmee,FL,2046.990626657871,2060.40305432969
Arlington,VA,2606.3739422039653,2688.9198535456208
Scottsdale,AZ,2069.600477895397,2079.3098267022924
Norfolk,VA,1576.0870418785717,1651.600949942031
Ocala,FL,1592.6129195443355,1636.0168688178087
Santa Clarita,CA,2771.595688292559,2827.0252189044845
Fremont,CA,3053.043658380953,3133.986252219209
Fontana,CA,2927.3802561141656,3023.678895877716
Springfield,MO,1134.5720857401368,1179.6371373362922
Greenville,SC,1527.5306356530273,1603.4406157776316
Boca Raton,FL,2966.4873761598974,3006.9571338908213
Grand Rapids,MI,1550.3078450085295,1611.9725481788437
Bradenton,FL,1899.196636656953,1919.7193905418933
Little Rock,AR,1177.3932209364286,1201.376623587845
Gainesville,FL,1573.2022843009981,1613.87586466172
Port Saint Lucie,FL,2334.166652734169,2393.069667310328
Tacoma,WA,1707.1183534362642,1757.9262582426961
Woodbridge,VA,2174.3762460595676,2241.124570396413
Amarillo,TX,1192.0908971079702,1224.5229418130702
Des Moines,IA,1093.07302330513,1107.1771295647673
Savannah,GA,1776.2137998688331,1822.3562062868568
Oxnard,CA,2833.7320334756405,2986.82681702668
Santa Rosa,CA,2514.0557478334044,2554.264534063561
Huntsville,AL,1322.0370685725563,1327.034818494519
Akron,OH,1124.3467461073992,1168.7334307982724
Wilmington,NC,1700.1330485228436,1723.5210965068104
Brownsville,TX,1604.3306846918488,1665.7793341248905
Yonkers,NY,2488.195576561213,2630.345978039807
Eugene,OR,1777.8267556719156,1839.8883915373158
Corona,CA,2561.238083687468,2635.091674897754
Dayton,OH,1177.0538735378104,1227.6317985421376
Syracuse,NY,1471.4139126269022,1538.9890302199067
Montgomery,AL,1241.5408362574315,1297.0309426114843
Alexandria,VA,2250.8735555308017,2326.5177010373086
Oceanside,CA,2853.8244213423745,2933.4329649669594
Trenton,NJ,2095.2678528253614,2215.84068067081
Moreno Valley,CA,2342.6258428014266,2405.031681351401
Shreveport,LA,1127.7911744245796,1185.0622295227586
Wilmington,DE,1710.4439728240159,1788.3222343811321
Murfreesboro,TN,1669.0849974340242,1690.2727258398004
West Palm Beach,FL,2282.8428197671924,2327.1603938292583
Worcester,MA,2023.2255193873664,2142.6368519942503
Fort Collins,CO,1885.9573095282897,1935.8387469468985
Salt Lake City,UT,1603.5283711184013,1615.7261863252847
Beaverton,OR,1966.2534158392282,1964.5298411977692
Salinas,CA,2266.3373575854525,2387.007103725306
Frisco,TX,1890.8646117244716,1894.780277678211
McKinney,TX,1892.8385377291518,1884.750831474189
Sioux Falls,SD,1236.2788341237208,1245.8830434876224
Glendale,CA,2764.4193890453903,2842.412817820392
Reading,PA,1294.8272632570981,1352.409106660455
Lancaster,CA,2634.3331944219594,2653.393130823915
Huntington Beach,CA,2907.5331661906002,2997.73963471397
Cape Coral,FL,2115.404116150509,2072.049863415137
Lake Worth Beach,FL,2363.6530446558077,2424.5923223764867
Hayward,CA,2564.723379101471,2603.5924815296266
Salem,OR,1590.113322017928,1617.3945341939134
Clarksville,TN,1395.1364313483148,1408.1496833504225
Grand Prairie,TX,1642.174465824258,1647.8119141550114
Charleston,SC,2123.4280445288864,2175.1106348786134
Aurora,IL,2102.5510311378507,2185.7016350555114
Peoria,AZ,1916.6035610018162,1905.4672655609102
Cypress,TX,2017.515171351805,2033.1469469338367
Providence,RI,2149.809117398119,2215.6881640084894
Whittier,CA,2323.268353475844,2363.024677571312
Overland Park,KS,1697.1407917653705,1761.9381853537311
Henrico,VA,1637.02810838773,1704.681712464687
Palmdale,CA,2761.035499531992,2818.053200545559
Fredericksburg,VA,1941.37688741452,2020.0800886818947
Chattanooga,TN,1469.3720637474978,1485.8626014270837
Homestead,FL,2481.1460209470615,2511.357542032883
Cumming,GA,2275.6856782096124,2315.556442310942
Fort Lauderdale,FL,2654.327742515296,2703.8767647912236
Elk Grove,CA,2561.9287212786276,2611.5517796823065
Rockford,IL,1090.5912364470848,1156.3763359218897
Columbus,GA,1251.53144936455,1298.4744862422408
Evansville,IN,955.7396778538015,1011.7547597355008
Erie,PA,990.0945054375285,1056.9741274508715
Edmond,OK,1643.2129762172056,1687.0142622551475
York,PA,1264.411024635214,1327.6240597124404
Ontario,CA,2458.684111359786,2538.4890731813425
Killeen,TX,1251.8710285424165,1275.7186791056997
Allentown,PA,1649.827530961822,1707.9585074838258
Tempe,AZ,1709.9548715895528,1718.2491103501684
Garden Grove,CA,2513.1147165952107,2589.7561329158084
Lancaster,PA,1432.4253648532929,1499.5514925080015
Escondido,CA,2661.3295430034227,2681.4755394494987
El Cajon,CA,2342.756672294291,2389.696782128699
Rancho Cucamonga,CA,2744.5859051721786,2825.4084427261328
Round Rock,TX,1741.7396409664527,1702.2049496474506
Newport News,VA,1476.4305228303517,1513.4282330444112
Conroe,TX,1628.2505529319578,1618.9004281080934
Boynton Beach,FL,2400.488693648281,2427.3860159572373
Harrisburg,PA,1282.9818143137297,1337.1524572314993
Roanoke,VA,1322.195071584376,1385.017665177298
Ann Arbor,MI,2227.94151886613,2284.0068986180645
Everett,WA,1915.3346842615235,1942.302593469322
Sugar Land,TX,2056.042806258019,2092.699584316366
Naperville,IL,2193.5862184400053,2264.943255364312
Fairfax,VA,2413.9117359628904,2494.4823569749715
Pembroke Pines,FL,2611.744098713442,2649.6387181714163
Augusta,GA,1239.6121572424956,1310.732880863755
Edinburg,TX,1019.6741321199324,1031.036408424759
Topeka,KS,1177.7857210960622,1244.349680113335
Lakewood,CO,1831.1899638907541,1825.2220375640497
Midland,TX,1654.2311374456929,1697.3306871534924
Pueblo,CO,1339.5339679253686,1371.9985606909636
Visalia,CA,1817.9820657900655,1883.392233178918
Odessa,TX,1536.7530954824795,1582.0279949613982
Cary,NC,1790.3259860637816,1793.0439177643036
Schenectady,NY,1424.7159756143467,1475.4598153279771
Lafayette,LA,1284.2037887468587,1320.6446697517747
Paterson,NJ,1958.3995505640378,1987.5759457310755
Tyler,TX,1353.3914246784564,1375.7557775641117
Clearwater,FL,2090.659710749878,2139.4446866687126
Sunnyvale,CA,3412.5595132235644,3558.9703973530295
Kansas City,KS,1256.9973342871624,1319.2087608362465
Springfield,MA,1716.723173340123,1773.614770964727
Lansing,MI,1273.4040387522061,1341.705322623285
Las Cruces,NM,1338.9232674226994,1369.163386266605
Macon,GA,1182.2183868482805,1208.2920804874075
Hollywood,FL,2397.2173497270974,2412.225389624856
Jackson,MS,1187.9337529643046,1255.9557458051122
Columbia,MO,1234.8407498181234,1307.5559149242517
Pomona,CA,2382.069569110975,2454.1453509517905
Roseville,CA,2494.0913672960983,2529.339714347343
South Bend,IN,1317.5147231963053,1383.217736029721
Albany,NY,1458.3472868722426,1524.69486523258
Mesquite,TX,1533.1801737275234,1552.5217902818817
Bellevue,WA,2713.7493616495694,2791.6072426035753
Renton,WA,2183.595462122849,2220.43453095148
Pasadena,TX,1213.0478399154574,1243.5459831848425
Surprise,AZ,1962.9399297746925,1961.7779869203891
Denton,TX,1579.09473224699,1588.8083936458434
Pasadena,CA,2864.5876793399725,2973.272955026857
Newark,DE,2036.2123097597107,2094.379803747561
Santa Maria,CA,2301.4253407299248,2275.368567076795
Richmond,TX,1858.5123156736324,1863.399568508045
Thornton,CO,1961.3570055348498,1935.6043674325983
Torrance,CA,2988.8128070537155,3048.382469287183
Victorville,CA,2014.042221155133,2093.284966957879
Kent,WA,1932.3102939953817,1985.3136792643788
Beaumont,TX,1214.2570065169054,1285.352361091643
Summerville,SC,1861.7137332258183,1880.7978636817527
Bridgeport,CT,1918.0503784938576,1980.6431255424618
McAllen,TX,1347.3040563052084,1355.9595894356364
Manassas,VA,2022.0721898295578,2105.2812970226387
Yuma,AZ,1374.1288394525848,1415.664439744157
Cedar Rapids,IA,1089.8448095662518,1138.250731615201
Fullerton,CA,2756.359515281816,2832.5947979109355
Olathe,KS,1692.2023945538879,1769.7361451594218
Canton,OH,996.6465179138207,1049.7980547917405
Myrtle Beach,SC,1702.163731251494,1712.1267605281255
Frederick,MD,2082.6313252977975,2136.1584057840737
Warren,MI,1303.543474785909,1340.0711981326226
Saint Augustine,FL,2163.2316460078387,2192.462829305897
Billings,MT,1311.0255226475374,1352.161898341793
Abilene,TX,1366.018251652551,1464.9157212716955
West Valley City,UT,1629.784863221863,1618.5101960245997
Orange,CA,2896.312601571009,2985.762044160767
Metairie,LA,1583.6444996620785,1651.3389214979657
Decatur,GA,1760.1718053443012,1825.9998348639167
Pearland,TX,1814.1593437380016,1858.524932884287
Kalamazoo,MI,1163.6890038431288,1216.260496805664
Compton,CA,2223.8110370239374,2397.816519025242
Lake Charles,LA,1002.3731104076672,1029.4032159596509
Hampton,VA,1540.8342420722838,1587.1264736400426
Miramar,FL,2661.7824074578893,2715.5430072191357
Concord,NC,1703.1491821478976,1741.1081781510534
Stamford,CT,2806.8273957093843,2938.641410241168
Hemet,CA,1825.0078854939982,1855.9465544499162
Carrollton,TX,1702.7980046406174,1661.3911919713755
Coral Springs,FL,2372.7016880873957,2416.6230602538976
Sterling Heights,MI,1657.139655755476,1690.8592900861559
Murrieta,CA,2663.1965224240953,2714.434217393594
Elizabeth,NJ,2174.5741446054367,2279.9958594870204
Inglewood,CA,2486.815758521748,2556.498917865214
Clovis,CA,2263.913974175884,2324.6870653874366
Concord,CA,2560.236149624408,2621.9773418027116
Melbourne,FL,1893.7469940385354,1925.6005699872885
Hamilton,OH,1256.153980240828,1305.881223573644
New Haven,CT,2023.131829619196,2111.922453903523
Santa Fe,NM,2007.4655832029518,2026.7514271973957
Gainesville,GA,1628.8131724848902,1640.5396150997835
Boulder,CO,2436.0104894948577,2506.391744636863
Tracy,CA,2669.1653005022595,2708.6194743118886
Broken Arrow,OK,1602.3501857733402,1652.0295048279559
Bend,OR,2265.3268527797195,2281.239630971728
Bloomington,IN,1531.7125389480555,1578.024848410621
Lakewood,NJ,2235.4463257849807,2511.6566312024693
College Station,TX,1479.6478814635775,1518.8643539789277
Riverview,FL,2172.0141582028004,2215.3650881869935
Rochester,MN,1605.3724479224304,1669.0361099084503
Puyallup,WA,2182.591024410708,2253.0771224566943
Flint,MI,961.9337239981443,998.6769795437565
Simi Valley,CA,3046.3712369659393,3125.0434279865894
Fargo,ND,1081.355378557996,1100.399528698852
Sparks,NV,1836.1129399193626,1907.3186069904466
Santa Clara,CA,3479.7779528941865,3577.7294119048975
Saginaw,MI,1005.7979974608725,1040.4591252987966
Nampa,ID,1598.73131310832,1632.8686794372936
Vallejo,CA,2168.3094105207383,2220.4106390046168
Temecula,CA,2947.459383976682,3007.5731929576787
Norman,OK,1239.6276579358343,1284.8112244822619
Thousand Oaks,CA,3232.1630028764716,3358.4992126552734
Independence,MO,1279.0015828053513,1328.3720726961776
Meridian,ID,1919.2196238335619,1969.4963014726914
Joliet,IL,1704.8028503911219,1814.7505249077722
Richmond,CA,2605.428608900101,2636.3308372531415
Charlottesville,VA,1902.9802933108447,1971.0182261940324
Bellingham,WA,1847.9093110977626,1911.8582504606059
Arvada,CO,2154.7012860607565,2184.8787054430404
Stone Mountain,GA,1648.430373790254,1696.0723329338293
Athens,GA,1624.9095741629608,1654.4415443975581
Westminster,CO,1881.0408133224366,1869.089498169863
Yakima,WA,1332.9231239884161,1361.4074975075546
Tuscaloosa,AL,1372.1033834330653,1430.119949566586
New Port Richey,FL,1855.9110030472684,1924.7577658157356
Spring Hill,FL,1919.6985419813918,1997.4229452143454
Elgin,IL,1714.5885155201058,1802.2129122239046
Chico,CA,1551.4969145377256,1581.7535042127033
Spartanburg,SC,1307.6361678449864,1347.6911492890881
Bowling Green,KY,1321.0367109918827,1350.7875533523988
Largo,FL,1722.5899036399317,1787.9388303278513
Falls Church,VA,2517.586582556879,2615.294704198265
Springfield,IL,1057.866157705818,1110.0243952602277
Hartford,CT,1574.0254856903794,1673.4634251721757
Toms River,NJ,2855.3594602287335,2970.5244050974325
Lewisville,TX,1597.9794218499253,1597.9755564620405
Vero Beach,FL,2216.2984078696213,2278.872604758597
Berkeley,CA,2759.1496475543004,2812.076966677689
Bethlehem,PA,1737.2611190430819,1793.7428215276448
Gresham,OR,1636.2579708528676,1653.2079840234212
Palm Bay,FL,1863.2999232504524,1892.7205955559582
Asheville,NC,1896.1943263340543,1882.8577895572416
East Los Angeles,CA,1899.8039301876058,2012.7907359381397
Delray Beach,FL,2746.188472564285,2778.6205984385697
Laurel,MD,1915.3628863617423,1955.6773841100044
New Braunfels,TX,1640.2533277922219,1616.46515176792
Cambridge,MA,3258.8741179527606,3357.9487236424175
Carlsbad,CA,3463.1233027784524,3590.375355504373
Perris,CA,2712.394089184437,2792.2076596094776
Franklin,TN,2067.962263815622,2109.1653303463663
West Jordan,UT,1605.3728667458256,1634.1485270602066
Vista,CA,2676.273322514241,2729.8889557311873
Fairfield,CA,2438.8136506889814,2516.833132846449
Hillsboro,OR,2038.1099156271212,2022.5663447071324
Waco,TX,1429.3489450575337,1432.8063159870187
Richardson,TX,1707.5654593909965,1725.7446558541787
Lehigh Acres,FL,2033.6837191746035,1992.194154939597
Manchester,NH,2026.8432142408221,2099.5492492537987
Lowell,MA,2131.629440196865,2237.0089011304817
Costa Mesa,CA,2994.943735356568,3123.100961236574
Santa Barbara,CA,3586.4455593194907,3768.3104904205074
Rock Hill,SC,1451.8280702573122,1471.628157178666
Waterbury,CT,1423.7123166265374,1497.0587123905677
Downey,CA,2195.487752931304,2240.2091037913424
League City,TX,1920.687444651189,1980.0199527447762
Pflugerville,TX,1811.5654865023146,1758.4841675607004
Provo,UT,1437.5728507848326,1465.783033232132
Ventura,CA,2741.0206683629854,2849.0058532592093
Lexington,SC,1701.830464621001,1786.5732613170717
Ashburn,VA,2758.116687045905,2893.5378659976323
Antioch,CA,2734.377017686225,2775.278492489084
Redding,CA,1537.8200955219002,1629.3066401905944
Kennesaw,GA,1864.4992275236702,1871.459637757141
